evaluated_session,train_start,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2023-12-01,2023-01-04,6.21432397268573e-06,9.422802472444994e-06,2023-11-27,131,13690,102,100.0,6.21432397268573e-06,9.422802472444994e-06,0.0024928545831407276,0.0030696583641253946,0.29411764705882354,0.3235294117647059,1.0
2023-12-04,2023-01-04,8.437260051879694e-06,1.1292222311165192e-05,2023-11-29,132,13783,88,1.0,8.437260051879694e-06,1.1292222311165192e-05,0.0029046962064697393,0.003360390202218366,0.2159090909090909,0.25,1.0
2023-12-06,2023-01-04,7.651619380301373e-06,1.0520054380636278e-05,2023-12-01,133,13885,82,100.0,7.651619380301373e-06,1.0520054380636278e-05,0.002766156065789017,0.003243463331168749,0.25609756097560976,0.2926829268292683,1.0
2023-12-08,2023-01-04,1.2141514431275757e-05,1.6814216616689164e-05,2023-12-04,134,13973,72,100.0,1.2141514431275757e-05,1.6814216616689164e-05,0.003484467596531177,0.004100514189304698,0.09722222222222222,0.125,1.0
2023-12-11,2023-01-04,1.1010772314454076e-05,1.5115179267536044e-05,2023-12-06,135,14055,72,100.0,1.1010772314454076e-05,1.5115179267536044e-05,0.003318248380464319,0.0038878244903205244,0.1527777777777778,0.1111111111111111,1.0
2023-12-13,2023-01-04,1.0013059699505282e-05,1.670907941295388e-05,2023-12-08,136,14127,67,100.0,1.0013059699505282e-05,1.670907941295388e-05,0.0031643419062271512,0.0040876740835044416,0.1044776119402985,0.14925373134328357,1.0
2023-12-15,2023-01-04,1.0194956212782513e-05,1.1434629372872562e-05,2023-12-11,137,14199,100,100.0,1.0194956212782513e-05,1.1434629372872562e-05,0.0031929541513749478,0.0033815128822573723,0.22,0.17,1.0
2023-12-18,2023-01-04,7.63596790587076e-06,8.207697480503413e-06,2023-12-13,138,14266,99,100.0,7.63596790587076e-06,8.207697480503413e-06,0.0027633255157275194,0.0028649079357814296,0.2727272727272727,0.16161616161616163,1.0
2023-12-20,2023-01-04,9.510016303110572e-06,7.41201652384686e-06,2023-12-15,139,14366,106,100.0,9.510016303110572e-06,7.41201652384686e-06,0.003083831432343631,0.0027225018868399084,0.3113207547169811,0.19811320754716982,1.0
2023-12-22,2023-01-04,7.2928834130874925e-06,6.861097789598412e-06,2023-12-18,140,14465,109,100.0,7.2928834130874925e-06,6.861097789598412e-06,0.002700533912597191,0.0026193697313663857,0.2018348623853211,0.09174311926605505,1.0
2023-12-27,2023-01-04,8.420733248364987e-06,9.925304530213372e-06,2023-12-20,141,14571,91,100.0,8.420733248364987e-06,9.925304530213372e-06,0.0029018499699958625,0.0031504451320747313,0.06593406593406594,0.01098901098901099,1.0
2023-12-29,2023-01-04,6.9170568172287774e-06,7.93819131464345e-06,2023-12-22,142,14680,98,100.0,6.9170568172287774e-06,7.93819131464345e-06,0.0026300298129923886,0.00281747960323468,0.24489795918367346,0.15306122448979592,1.0
