evaluated_session,train_start,baseline_loss_AAPL,model_loss_AAPL,baseline_loss_SPY,model_loss_SPY,train_end,train_sessions,train_rows,evaluation_rows,alpha,baseline_loss,model_loss,baseline_rmse,model_rmse,model_within_spread,baseline_within_spread,learned_coverage
2026-03-05,2025-03-04,2.49436061301141e-05,1.2892989118105124e-05,3.8950433806733724e-05,9.224481118244886e-06,2026-03-03,250,61420,288,100.0,3.316289042646381e-05,1.0740288243187135e-05,0.005758722985737707,0.00327723789847291,0.17708333333333334,0.1284722222222222,1.0
2026-03-06,2025-03-05,3.277300301276775e-05,1.6095901924936165e-05,6.596425965542682e-05,1.772163124175248e-05,2026-03-04,250,61525,323,100.0,5.055036338174613e-05,1.6966648586884222e-05,0.007109877873898125,0.0041190591871062285,0.20743034055727555,0.09907120743034056,1.0
2026-03-09,2025-03-06,0.00015555991283207714,0.00010894972881619212,0.0003404700638690551,0.000253845826203526,2026-03-05,250,61618,249,100.0,0.0002610106816965384,0.00019158123816961144,0.016155825008229645,0.013841287446246157,0.05220883534136546,0.05622489959839357,1.0
2026-03-10,2025-03-07,3.845265211213164e-05,1.6523175520703448e-05,4.015801372230194e-05,8.16054797647814e-06,2026-03-06,250,61754,314,100.0,3.945740337927019e-05,1.159614973827771e-05,0.006281512825686993,0.003405311988390742,0.3057324840764331,0.17834394904458598,1.0
2026-03-11,2025-03-10,3.206887380446157e-05,1.5074153574500164e-05,4.567124107042143e-05,9.439554180494492e-06,2026-03-09,250,61812,324,100.0,3.941583143268063e-05,1.2030774272182286e-05,0.006278202882408359,0.003468540654537912,0.2777777777777778,0.21604938271604937,1.0
2026-03-12,2025-03-11,4.849087956556796e-05,2.3771219581554362e-05,6.992998635247718e-05,1.9561454312354827e-05,2026-03-10,250,61937,338,1.0,6.003501398928831e-05,2.1504422898139226e-05,0.0077482265060650046,0.0046372861565940945,0.21597633136094674,0.1390532544378698,1.0
2026-03-13,2025-03-12,0.00024833586694962887,0.0001994515514630437,0.00012601969813849428,6.387046604612965e-05,2026-03-11,250,62058,279,1.0,0.0001838897134899988,0.00012801635592079867,0.013560594142219537,0.011314431312301943,0.03225806451612903,0.0,1.0
2026-03-16,2025-03-13,2.2561345568043097e-05,1.2952984261714221e-05,5.063429055332093e-05,1.0179223778986735e-05,2026-03-12,250,62196,331,1.0,3.7318724502902134e-05,1.1494874521549319e-05,0.006108905344077786,0.0033904091967709915,0.2598187311178248,0.17522658610271905,1.0
2026-03-17,2025-03-14,1.9003256312626262e-05,1.0005389932752696e-05,4.099961468144337e-05,7.903219400890607e-06,2026-03-13,250,62267,319,1.0,3.100126996834469e-05,8.85875146082792e-06,0.0055678784081860735,0.0029763654783692005,0.29153605015673983,0.2225705329153605,1.0
2026-03-18,2025-03-17,0.00013924776735592482,0.00010242659047462118,0.00010913616267176521,5.200027557853194e-05,2026-03-16,250,62407,261,1.0,0.00012251909808694725,7.441197108790494e-05,0.011068834540589503,0.008626237365613408,0.011494252873563218,0.0038314176245210726,1.0
