date,act_symbol,open,high,low,close
2019-07-22,AAPL,203.6500,207.2300,203.6100,207.2200
2019-07-23,AAPL,208.4600,208.9100,207.2900,208.8400
2019-07-24,AAPL,207.6700,209.1500,207.1700,208.6700
2019-07-25,AAPL,208.8900,209.2400,206.7300,207.0200
2019-07-26,AAPL,207.4800,209.7300,207.1400,207.7400
2019-07-29,AAPL,208.4600,210.6400,208.4400,209.6800
2019-07-30,AAPL,208.7600,210.1600,207.3100,208.7800
2019-07-31,AAPL,216.4200,221.3700,211.3000,213.0400
2019-08-01,AAPL,213.9000,218.0300,206.7400,208.4300
2019-08-02,AAPL,205.5300,206.4300,201.6300,204.0200
2019-08-05,AAPL,197.9900,198.6500,192.5800,193.3400
2019-08-06,AAPL,196.3100,198.0700,194.0400,197.0000
2019-08-07,AAPL,195.4100,199.5600,193.8200,199.0400
2019-08-08,AAPL,200.2000,203.5300,199.3900,203.4300
2019-08-09,AAPL,201.3000,202.7600,199.2900,200.9900
2019-08-12,AAPL,199.6200,202.0500,199.1500,200.4800
2019-08-13,AAPL,201.0200,212.1400,200.8300,208.9700
2019-08-14,AAPL,203.1600,206.4400,202.5900,202.7500
2019-08-15,AAPL,203.4600,205.1400,199.6700,201.7400
2019-08-16,AAPL,204.2800,207.1600,203.8400,206.5000
2019-08-19,AAPL,210.6200,212.7300,210.0300,210.3500
2019-08-20,AAPL,210.8800,213.3500,210.3200,210.3600
2019-08-21,AAPL,212.9900,213.6500,211.6000,212.6400
2019-08-22,AAPL,213.1900,214.4400,210.7500,212.4600
2019-08-26,AAPL,205.8600,207.1900,205.0600,206.4900
2019-08-27,AAPL,207.8600,208.5500,203.5300,204.1600
2019-08-28,AAPL,204.1000,205.7200,203.3200,205.5300
2019-08-29,AAPL,208.5000,209.3200,206.6600,209.0100
2019-08-30,AAPL,210.1600,210.4500,207.2000,208.7400
2019-09-03,AAPL,206.4300,206.9800,204.2200,205.7000
2019-09-04,AAPL,208.3900,209.4800,207.3200,209.1900
2019-09-05,AAPL,212.0000,213.9700,211.5100,213.2800
2019-09-06,AAPL,214.0500,214.4200,212.5100,213.2600
2019-09-09,AAPL,214.8400,216.4400,211.0700,214.1700
2019-09-10,AAPL,213.8600,216.7800,211.7100,216.7000
2019-09-11,AAPL,218.0700,223.7100,217.7300,223.5900
2019-09-12,AAPL,224.8000,226.4200,222.8600,223.0900
2019-09-13,AAPL,220.0000,220.7900,217.0200,218.7500
2019-09-16,AAPL,217.7300,220.1300,217.5600,219.9000
2019-09-18,AAPL,221.0600,222.8500,219.4400,222.7700
2019-09-19,AAPL,222.0100,223.7600,220.3700,220.9600
2019-09-20,AAPL,221.3800,222.5600,217.4700,217.7300
